City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
236,maceio,-9.6658,-35.7353,296.84,78,0,2.06,BR,1723064818
237,port douglas,-16.4833,145.4667,293.94,88,69,3.53,AU,1723065072
238,barcelos,41.5388,-8.6151,294.64,85,0,0.7,PT,1723065073
239,hobyo,5.3505,48.5268,297.49,88,100,10.81,SO,1723064771
240,behompy,-23.2496,43.8557,293.65,74,0,3.83,MG,1723064839
241,bakanas,44.8081,76.2772,299.24,27,5,4.09,KZ,1723065077
242,malango,-2.9627,119.9001,290.67,99,71,1.03,ID,1723065078
243,kharp,66.8014,65.8081,280.66,84,4,0.72,RU,1723065079
244,vilyuysk,63.7553,121.6247,281.23,89,11,0.75,RU,1723065080
245,la'ie,21.6477,-157.9253,304.13,72,4,3.58,US,1723064943
246,beipiao,41.7919,120.7792,295.47,95,2,0.18,CN,1723065082
247,st. john's,47.5649,-52.7093,293.86,68,100,8.23,CA,1723065084
248,lospalos,-8.5186,127.0025,292.45,94,4,2.43,TL,1723065085
249,bairnsdale,-37.8333,147.6167,278.18,90,86,2.11,AU,1723065086
250,mcalester,34.9334,-95.7697,311.2,32,0,2.06,US,1723065018
251,paraty,-23.2178,-44.7131,298.08,44,0,1.43,BR,1723065089
252,ta`u,-14.2336,-169.5144,298.07,77,93,10.31,AS,1723064875
253,lubango,-14.9172,13.4925,290.21,37,0,2.28,AO,1723065092
254,kralendijk,12.15,-68.2667,304.14,70,75,5.66,BQ,1723065093
255,sosnovo-ozerskoye,52.5249,111.5418,285.63,91,100,0.7,RU,1723065094
256,san antonio de pale,-1.4014,5.6325,296.15,82,100,4.54,GQ,1723064887
257,negombo,7.2083,79.8358,301.18,89,40,3.6,LK,1723064845
258,tarfaya,27.9358,-12.9218,294.26,89,0,7.3,MA,1723065100
259,labrador city,52.9463,-66.9114,285.1,66,75,6.17,CA,1723064697
260,waddan,29.1614,16.139,307.67,16,17,4.45,LY,1723065102
261,colonia,50.9333,6.95,293.05,79,67,1.71,DE,1723065103
262,nuuk,64.1835,-51.7216,283.49,76,20,3.09,GL,1723064841
263,at taraf,25.3628,49.725,306.45,27,100,1.21,SA,1723065107
264,campbellton,48.0075,-66.6727,292.79,39,12,5.14,CA,1723065108
265,kerikeri,-35.2268,173.9474,284.21,95,71,2.46,NZ,1723065109
266,iranshahr,27.2025,60.6848,304.97,54,37,3.31,IR,1723065110
267,tshabong,-26.05,22.45,291.28,20,2,3.91,BW,1723065111
268,port moresby,-9.4431,147.1797,296.83,87,64,3.95,PG,1723065112
269,karratha,-20.7377,116.8463,293.35,39,4,4.19,AU,1723064647
270,nantucket,41.2835,-70.0995,292.6,77,100,5.66,US,1723064930
271,bima,-8.4667,118.7167,295.69,97,4,1.45,ID,1723065116
272,mancio lima,-7.6142,-72.8958,305.24,46,87,0.92,BR,1723065118
273,qaqortoq,60.7167,-46.0333,281.4,93,100,1.06,GL,1723065119
274,luwuk,-0.9516,122.7875,295.04,95,100,1.92,ID,1723065120
275,kone,-21.0595,164.8658,292.75,74,100,3.6,NC,1723065121
276,okhotsk,59.3833,143.3,286.97,85,3,0.93,RU,1723065122
277,magong,23.5654,119.5863,301.74,78,99,2.81,TW,1723065124
278,sumbawanga,-7.9667,31.6167,288.65,34,5,1.88,TZ,1723065125
279,turpan,42.9333,89.1667,296.93,65,98,4.26,CN,1723065126
280,mata-utu,-13.2816,-176.1745,299.05,67,25,9.74,WF,1723065127
281,villa de reyes,21.8,-100.9333,302.7,30,32,6.16,MX,1723065129
282,huayin,34.5675,110.0921,299.79,85,87,1.78,CN,1723064888
283,torghay,49.6339,63.4981,295.94,65,35,1.97,KZ,1723065131
284,oum hadjer,13.2954,19.6966,300.27,71,100,2.19,TD,1723065133
285,ola,59.5833,151.2833,285.57,86,47,1.99,RU,1723064947
286,ponto novo,-10.8628,-40.1336,300.01,45,26,6.59,BR,1723065135
287,nadym,65.5333,72.5167,278.59,90,11,4.35,RU,1723065136
288,saldanha,-33.0117,17.9442,285.37,90,2,3.72,ZA,1723065137
289,laguna,38.421,-121.4238,314.44,12,0,3.6,US,1723064699
290,greymouth,-42.4667,171.2,282.07,84,92,6.51,NZ,1723065140
291,papao,-17.75,-149.55,300.97,78,0,7.28,PF,1723065141
292,fort bragg,35.139,-79.006,299.51,94,100,6.69,US,1723065142
293,fort william,56.8165,-5.1121,285.54,95,84,3.95,GB,1723065067
294,custodia,-8.0875,-37.6431,297.42,47,5,5.65,BR,1723065144
295,saint-philippe,-21.3585,55.7679,292.92,76,0,2.12,RE,1723065145
296,anadyr,64.75,177.4833,282.43,70,20,3.0,RU,1723065147
297,pathein,16.7833,94.7333,298.6,90,97,2.19,MM,1723064962
298,selfoss,63.9331,-20.9971,288.73,86,79,2.99,IS,1723065149
299,eilat,29.5581,34.9482,307.06,31,0,4.63,IL,1723065150
300,palmer,42.1584,-72.3287,295.38,67,45,2.24,US,1723064798
301,vredendal,-31.6683,18.5012,283.52,93,0,0.84,ZA,1723065152
302,santa fe de antioquia,6.5569,-75.8281,301.28,71,100,0.59,CO,1723064955
